AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2025-26,Fall,,DESN 100,001,40417,Sopu. Ariel,10,10,0,0,Cheney,SMTWF,10:00,12:20,5,Performance,Campus,,
2025-26,Fall,,DESN 100,002,40418,Allison. Shelby,10,7,3,10,Cheney,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 200,002,40420,Mills. Simeon,10,10,0,0,Cheney,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 200,040,41804,Manikoth. Colin,24,14,10,10,Spokane,SMTWF,10:00,12:20,5,Performance,Campus,,
2025-26,Fall,,DESN 216,001,40421,Sopu. Ariel,10,5,5,10,Cheney,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 216,002,40435,Pettinrew. Allan / Barton. Jayleana,10,10,0,0,Online,SMTWFS,,,,5,Performance,Online,,
2025-26,Fall,,DESN 243,040,40422,Durr. Sonja,24,13,11,10,Spokane,SMTWF,10:00,12:20,5,Performance,Campus,,
2025-26,Fall,,DESN 263,040,40423,Sopu. Ariel,24,2,22,10,Spokane,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 301,040,40424,Mills. Simeon,24,9,15,10,Spokane,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 326,040,40425,Hustulid. Ginelle,24,8,16,10,Spokane,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 338,040,40426,Lybbert. Meg,22,1,21,10,Spokane,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 359,001,40428,Durr. Sonja,23,1,22,10,Cheney,SMTWF,10:00,12:20,5,Performance,Campus,,
2025-26,Fall,,DESN 366,040,41795,Lybbert. Meg,24,6,18,10,Spokane,SMTWF,04:00,06:20,5,Performance,Campus,,
2025-26,Fall,,DESN 368,040,40429,Masingale. Travis,24,11,13,10,Spokane,SMTWF,10:00,12:20,5,Performance,Campus,,
2025-26,Fall,,DESN 374,040,40431,Masingale. Travis,24,6,18,10,Spokane,SMTWF,10:00,12:20,5,Performance,Campus,,
2025-26,Fall,,DESN 399,040,42244,Durr. Sonja,10,10,0,0,Spokane,SMTWFS,,,,5,Independent,Campus,,
2025-26,Fall,,DESN 399,041,43305,Breen. Melinda,10,10,0,0,Spokane,SMTWFS,,,,1,Independent,Campus,,
2025-26,Fall,,DESN 463,040,40432,Durr. Sonja,24,9,15,10,Spokane,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 480,040,40433,Manikoth. Colin,24,8,16,10,Spokane,SMTWF,01:00,03:20,5,Performance,Campus,,
2025-26,Fall,,DESN 490,040,40434,Manikoth. Colin,24,7,17,10,Spokane,SMTWF,10:00,12:20,5,Performance,Campus,,
2025-26,Fall,,DESN 495,001,42193,Mills. Simeon,10,10,0,0,Spokane,SMTWFS,,,,5,Internship,Campus,,
2025-26,Fall,,DESN 495,002,42942,Breen. Melinda,10,10,0,0,Spokane,SMTWFS,,,,7,Internship,Campus,,
2025-26,Fall,,DESN 495,003,42983,Mills. Simeon,10,10,0,0,Spokane,SMTWFS,,,,2,Internship,Campus,,
2025-26,Fall,,DESN 495,004,42984,Breen. Melinda,4,1,3,0,Spokane,SMTWFS,,,,3,Internship,Campus,,
2025-26,Fall,,DESN 495,005,43211,Breen. Melinda,10,10,0,0,Spokane,SMTWFS,,,,5,Internship,Campus,,
2025-26,Fall,,DESN 495,006,43268,Masingale. Travis,10,10,0,0,Spokane,SMTWFS,,,,3,Internship,Campus,,
2025-26,Fall,,DESN 499,040,42184,Masingale. Travis,10,10,0,0,Spokane,SMTWFS,,,,5,Independent,Campus,,
2025-26,Fall,,DESN 499,041,43233,Masingale. Travis,10,10,0,0,Spokane,SMTWFS,,,,5,Independent,Campus,,
2025-26,Fall,,DESN 499,042,43267,Breen. Melinda,10,10,0,0,Spokane,SMTWFS,,,,2,Independent,Campus,,
